security,ticker,OddLotVol,date,qtr
Stock,AAPL,3546.178,9/17/2018,9/30/2018
Stock,AAPL,2843.878,9/18/2018,9/30/2018
Stock,AAPL,2461.799,9/19/2018,9/30/2018
Stock,AAPL,2262.703,9/20/2018,9/30/2018
Stock,AAPL,2777.704,9/21/2018,9/30/2018
Stock,AAPL,1956.195,9/24/2018,9/30/2018
Stock,AAPL,1787.992,9/25/2018,9/30/2018
Stock,AAPL,1911.047,9/26/2018,9/30/2018
Stock,AAPL,2233.822,9/27/2018,9/30/2018
Stock,AAPL,1983.02,9/28/2018,9/30/2018
Stock,AAPL,2029.719,10/1/2018,12/31/2018
Stock,AAPL,2248.992,10/2/2018,12/31/2018
Stock,AAPL,2522.313,10/3/2018,12/31/2018
Stock,AAPL,3255.796,10/4/2018,12/31/2018
Stock,AAPL,3634.327,10/5/2018,12/31/2018
Stock,AAPL,2855.282,10/8/2018,12/31/2018
Stock,AAPL,2818.176,10/9/2018,12/31/2018
Stock,AAPL,4655.278,10/10/2018,12/31/2018
Stock,AAPL,5964.912,10/11/2018,12/31/2018
Stock,AAPL,3571.136,10/12/2018,12/31/2018
Stock,AAPL,2610.522,10/15/2018,12/31/2018
Stock,AAPL,2834.138,10/16/2018,12/31/2018
Stock,AAPL,2652.963,10/17/2018,12/31/2018
Stock,AAPL,3505.677,10/18/2018,12/31/2018
Stock,AAPL,3235.223,10/19/2018,12/31/2018
Stock,AAPL,2876.82,10/22/2018,12/31/2018
Stock,AAPL,4222.161,10/23/2018,12/31/2018
Stock,AAPL,4389.105,10/24/2018,12/31/2018
Stock,AAPL,2966.678,10/25/2018,12/31/2018
Stock,AAPL,4695.532,10/26/2018,12/31/2018
Stock,AAPL,3974.679,10/29/2018,12/31/2018
Stock,AAPL,3886.601,10/30/2018,12/31/2018
Stock,AAPL,2592.652,10/31/2018,12/31/2018
Stock,AAPL,3856.833,11/1/2018,12/31/2018
Stock,AAPL,7203.985,11/2/2018,12/31/2018
Stock,AAPL,5323.381,11/5/2018,12/31/2018
Stock,AAPL,2339.297,11/6/2018,12/31/2018
Stock,AAPL,2471.284,11/7/2018,12/31/2018
Stock,AAPL,1672.127,11/8/2018,12/31/2018
Stock,AAPL,2244.71,11/9/2018,12/31/2018
Stock,AAPL,3692.414,11/12/2018,12/31/2018
Stock,AAPL,3240.266,11/13/2018,12/31/2018
Stock,AAPL,3829.387,11/14/2018,12/31/2018
Stock,AAPL,2835.178,11/15/2018,12/31/2018
Stock,AAPL,2425.149,11/16/2018,12/31/2018
Stock,AAPL,2576.022,11/19/2018,12/31/2018
Stock,AAPL,4416.096,11/20/2018,12/31/2018
Stock,AAPL,1917.117,11/21/2018,12/31/2018
Stock,AAPL,1275.008,11/23/2018,12/31/2018
Stock,AAPL,2113.25,11/26/2018,12/31/2018
Stock,AAPL,2025.596,11/27/2018,12/31/2018
Stock,AAPL,2480.354,11/28/2018,12/31/2018
Stock,AAPL,2292.952,11/29/2018,12/31/2018
Stock,AAPL,1807.489,11/30/2018,12/31/2018
Stock,AAPL,2158.48,12/3/2018,12/31/2018
Stock,AAPL,2527.407,12/4/2018,12/31/2018
Stock,AAPL,2821.811,12/6/2018,12/31/2018
Stock,AAPL,2657.944,12/7/2018,12/31/2018
Stock,AAPL,3267.782,12/10/2018,12/31/2018
Stock,AAPL,2094.836,12/11/2018,12/31/2018
Stock,AAPL,1599.528,12/12/2018,12/31/2018
Stock,AAPL,1619.911,12/13/2018,12/31/2018
Stock,AAPL,2119.367,12/14/2018,12/31/2018
Stock,AAPL,2179.395,12/17/2018,12/31/2018
Stock,AAPL,1616.775,12/18/2018,12/31/2018
Stock,AAPL,2784.16,12/19/2018,12/31/2018
Stock,AAPL,3505.562,12/20/2018,12/31/2018
Stock,AAPL,3490.377,12/21/2018,12/31/2018
Stock,AAPL,1935.826,12/24/2018,12/31/2018
Stock,AAPL,2573.959,12/26/2018,12/31/2018
Stock,AAPL,2679.251,12/27/2018,12/31/2018
Stock,AAPL,2131.159,12/28/2018,12/31/2018
Stock,AAPL,1417.477,12/31/2018,12/31/2018
Stock,AAPL,1744.805,1/2/2019,3/31/2019
Stock,AAPL,5192.761,1/3/2019,3/31/2019
Stock,AAPL,3036.021,1/4/2019,3/31/2019
Stock,AAPL,2770.731,1/7/2019,3/31/2019
Stock,AAPL,2110.129,1/8/2019,3/31/2019
Stock,AAPL,2217.813,1/9/2019,3/31/2019
Stock,AAPL,1487.142,1/10/2019,3/31/2019
Stock,AAPL,1293.234,1/11/2019,3/31/2019
Stock,AAPL,1509.787,1/14/2019,3/31/2019
Stock,AAPL,1398.855,1/15/2019,3/31/2019
Stock,AAPL,1435.49,1/16/2019,3/31/2019
Stock,AAPL,1427.626,1/17/2019,3/31/2019
Stock,AAPL,1427.969,1/18/2019,3/31/2019
Stock,AAPL,1610.993,1/22/2019,3/31/2019
Stock,AAPL,1199.709,1/23/2019,3/31/2019
Stock,AAPL,1354.159,1/24/2019,3/31/2019
Stock,AAPL,1618.077,1/25/2019,3/31/2019
Stock,AAPL,1335.328,1/28/2019,3/31/2019
Stock,AAPL,1767.125,1/29/2019,3/31/2019
Stock,AAPL,2860.087,1/30/2019,3/31/2019
Stock,AAPL,1869.868,1/31/2019,3/31/2019
Stock,AAPL,1337.297,2/1/2019,3/31/2019
Stock,AAPL,1523.769,2/4/2019,3/31/2019
Stock,AAPL,1656.358,2/5/2019,3/31/2019
Stock,AAPL,1275.323,2/6/2019,3/31/2019
Stock,AAPL,1753.245,2/7/2019,3/31/2019
Stock,AAPL,1230.84,2/8/2019,3/31/2019
Stock,AAPL,1177.971,2/11/2019,3/31/2019
Stock,AAPL,1145.184,2/12/2019,3/31/2019
Stock,AAPL,1138.753,2/13/2019,3/31/2019
Stock,AAPL,1318.82,2/14/2019,3/31/2019
Stock,AAPL,1284.649,2/15/2019,3/31/2019
Stock,AAPL,1068.139,2/19/2019,3/31/2019
Stock,AAPL,1370.658,2/20/2019,3/31/2019
Stock,AAPL,1178.841,2/21/2019,3/31/2019
Stock,AAPL,982.753,2/22/2019,3/31/2019
Stock,AAPL,1139.171,2/25/2019,3/31/2019
Stock,AAPL,894.669,2/26/2019,3/31/2019
Stock,AAPL,933.403,2/27/2019,3/31/2019
Stock,AAPL,910.298,2/28/2019,3/31/2019
Stock,AAPL,1033.998,3/1/2019,3/31/2019
Stock,AAPL,1360.956,3/4/2019,3/31/2019
Stock,AAPL,933.239,3/5/2019,3/31/2019
Stock,AAPL,996.913,3/6/2019,3/31/2019
Stock,AAPL,1358.272,3/7/2019,3/31/2019
Stock,AAPL,1113.811,3/8/2019,3/31/2019
Stock,AAPL,1556.781,3/11/2019,3/31/2019
Stock,AAPL,1587.022,3/12/2019,3/31/2019
Stock,AAPL,1402.437,3/13/2019,3/31/2019
Stock,AAPL,1154.013,3/14/2019,3/31/2019
Stock,AAPL,1394.741,3/15/2019,3/31/2019
Stock,AAPL,1150.778,3/18/2019,3/31/2019
Stock,AAPL,1398.638,3/19/2019,3/31/2019
Stock,AAPL,1650.792,3/20/2019,3/31/2019
Stock,AAPL,2166.77,3/21/2019,3/31/2019
Stock,AAPL,2326.155,3/22/2019,3/31/2019
Stock,AAPL,2172.018,3/25/2019,3/31/2019
Stock,AAPL,3335.524,3/26/2019,3/31/2019
Stock,AAPL,1473.262,3/27/2019,3/31/2019
Stock,AAPL,1132.891,3/28/2019,3/31/2019
Stock,AAPL,1172.05,3/29/2019,3/31/2019
Stock,AAPL,1429.111,4/1/2019,6/30/2019
Stock,AAPL,1263.091,4/2/2019,6/30/2019
Stock,AAPL,1322.815,4/3/2019,6/30/2019
Stock,AAPL,1032.27,4/4/2019,6/30/2019
Stock,AAPL,887.562,4/5/2019,6/30/2019
Stock,AAPL,1364.89,4/8/2019,6/30/2019
Stock,AAPL,1698.166,4/9/2019,6/30/2019
Stock,AAPL,1265.988,4/10/2019,6/30/2019
Stock,AAPL,1148.819,4/11/2019,6/30/2019
Stock,AAPL,1539.809,4/12/2019,6/30/2019
Stock,AAPL,1171.435,4/15/2019,6/30/2019
Stock,AAPL,1735.39,4/16/2019,6/30/2019
Stock,AAPL,1724.438,4/17/2019,6/30/2019
Stock,AAPL,1306.801,4/18/2019,6/30/2019
Stock,AAPL,931.501,4/22/2019,6/30/2019
Stock,AAPL,1491.738,4/23/2019,6/30/2019
Stock,AAPL,926.419,4/24/2019,6/30/2019
Stock,AAPL,1209.34,4/25/2019,6/30/2019
Stock,AAPL,1130.891,4/26/2019,6/30/2019
Stock,AAPL,1108.042,4/29/2019,6/30/2019
Stock,AAPL,2479.821,4/30/2019,6/30/2019
Stock,AAPL,3739.652,5/1/2019,6/30/2019
Stock,AAPL,2249.464,5/2/2019,6/30/2019
Stock,AAPL,1427.511,5/3/2019,6/30/2019
Stock,AAPL,1915.21,5/6/2019,6/30/2019
Stock,AAPL,2812.057,5/7/2019,6/30/2019
Stock,AAPL,1926.074,5/8/2019,6/30/2019
Stock,AAPL,2756.164,5/9/2019,6/30/2019
Stock,AAPL,3132.815,5/10/2019,6/30/2019
Stock,AAPL,3882.472,5/13/2019,6/30/2019
Stock,AAPL,2362.418,5/14/2019,6/30/2019
Stock,AAPL,2080.181,5/15/2019,6/30/2019
Stock,AAPL,2039.685,5/16/2019,6/30/2019
Stock,AAPL,2363.855,5/17/2019,6/30/2019
Stock,AAPL,2470.744,5/20/2019,6/30/2019
Stock,AAPL,1639.605,5/21/2019,6/30/2019
Stock,AAPL,1856.308,5/22/2019,6/30/2019
Stock,AAPL,2308.145,5/23/2019,6/30/2019
Stock,AAPL,1644.061,5/24/2019,6/30/2019
Stock,AAPL,1699.566,5/28/2019,6/30/2019
Stock,AAPL,1895.948,5/29/2019,6/30/2019
Stock,AAPL,1605.275,5/30/2019,6/30/2019
Stock,AAPL,2001.204,5/31/2019,6/30/2019
Stock,AAPL,3021.935,6/3/2019,6/30/2019
Stock,AAPL,2302.543,6/4/2019,6/30/2019
Stock,AAPL,2225.975,6/5/2019,6/30/2019
Stock,AAPL,1490.041,6/6/2019,6/30/2019
Stock,AAPL,2278.12,6/7/2019,6/30/2019
Stock,AAPL,1710.51,6/10/2019,6/30/2019
Stock,AAPL,1560.23,6/11/2019,6/30/2019
Stock,AAPL,1147.882,6/12/2019,6/30/2019
Stock,AAPL,1297.374,6/13/2019,6/30/2019
Stock,AAPL,1311.023,6/14/2019,6/30/2019
Stock,AAPL,1118.197,6/17/2019,6/30/2019
Stock,AAPL,2122.22,6/18/2019,6/30/2019
Stock,AAPL,1618.573,6/19/2019,6/30/2019
Stock,AAPL,1932.38,6/20/2019,6/30/2019
Stock,AAPL,2170.516,6/21/2019,6/30/2019
Stock,AAPL,1560.439,6/24/2019,6/30/2019
Stock,AAPL,2715.419,6/25/2019,6/30/2019
Stock,AAPL,2668.926,6/26/2019,6/30/2019
Stock,AAPL,2030.506,6/27/2019,6/30/2019
Stock,AAPL,2515.544,6/28/2019,6/30/2019
Stock,AAPL,3416.503,7/1/2019,9/30/2019
Stock,AAPL,1668.266,7/2/2019,9/30/2019
Stock,AAPL,1337.694,7/3/2019,9/30/2019
Stock,AAPL,1886.248,7/5/2019,9/30/2019
Stock,AAPL,2579.104,7/8/2019,9/30/2019
Stock,AAPL,2130.34,7/9/2019,9/30/2019
Stock,AAPL,1611.743,7/10/2019,9/30/2019
Stock,AAPL,1957.825,7/11/2019,9/30/2019
Stock,AAPL,1767.232,7/12/2019,9/30/2019
Stock,AAPL,1690.542,7/15/2019,9/30/2019
Stock,AAPL,1653.638,7/16/2019,9/30/2019
Stock,AAPL,1275.428,7/17/2019,9/30/2019
Stock,AAPL,1585.936,7/18/2019,9/30/2019
Stock,AAPL,1980.051,7/19/2019,9/30/2019
Stock,AAPL,1745.471,7/22/2019,9/30/2019
Stock,AAPL,1529.13,7/23/2019,9/30/2019
Stock,AAPL,1219.49,7/24/2019,9/30/2019
Stock,AAPL,1451.826,7/25/2019,9/30/2019
Stock,AAPL,1597.491,7/26/2019,9/30/2019
Stock,AAPL,2035.177,7/29/2019,9/30/2019
Stock,AAPL,2456.411,7/30/2019,9/30/2019
Stock,AAPL,5388.225,7/31/2019,9/30/2019
Stock,AAPL,5394.318,8/1/2019,9/30/2019
Stock,AAPL,3960.014,8/2/2019,9/30/2019
Stock,AAPL,5457.302,8/5/2019,9/30/2019
Stock,AAPL,2895.668,8/6/2019,9/30/2019
Stock,AAPL,3317.872,8/7/2019,9/30/2019
Stock,AAPL,3396.953,8/8/2019,9/30/2019
Stock,AAPL,2195.843,8/9/2019,9/30/2019
Stock,AAPL,2250.053,8/12/2019,9/30/2019
Stock,AAPL,4517.745,8/13/2019,9/30/2019
Stock,AAPL,3490.491,8/14/2019,9/30/2019
Stock,AAPL,2850.726,8/15/2019,9/30/2019
Stock,AAPL,2816.492,8/16/2019,9/30/2019
Stock,AAPL,1649.967,8/19/2019,9/30/2019
Stock,AAPL,1802.153,8/20/2019,9/30/2019
Stock,AAPL,1923.552,8/21/2019,9/30/2019
Stock,AAPL,2097.624,8/22/2019,9/30/2019
Stock,AAPL,4827.455,8/23/2019,9/30/2019
Stock,AAPL,2218.315,8/26/2019,9/30/2019
Stock,AAPL,2337.367,8/27/2019,9/30/2019
Stock,AAPL,1666.011,8/28/2019,9/30/2019
Stock,AAPL,1933.874,8/29/2019,9/30/2019
Stock,AAPL,2241.216,8/30/2019,9/30/2019
Stock,AAPL,2088.858,9/3/2019,9/30/2019
Stock,AAPL,2626.889,9/4/2019,9/30/2019
Stock,AAPL,2742.25,9/5/2019,9/30/2019
Stock,AAPL,3101.191,9/6/2019,9/30/2019
Stock,AAPL,3605.445,9/9/2019,9/30/2019
Stock,AAPL,4832.89,9/10/2019,9/30/2019
Stock,AAPL,3919.902,9/11/2019,9/30/2019
Stock,AAPL,3349.839,9/12/2019,9/30/2019
Stock,AAPL,5219.563,9/13/2019,9/30/2019
Stock,AAPL,2673.564,9/16/2019,9/30/2019
Stock,AAPL,1811.024,9/17/2019,9/30/2019
Stock,AAPL,2541.876,9/18/2019,9/30/2019
Stock,AAPL,2320.14,9/19/2019,9/30/2019
Stock,AAPL,3749.938,9/20/2019,9/30/2019
Stock,AAPL,2383.075,9/23/2019,9/30/2019
Stock,AAPL,4312.529,9/24/2019,9/30/2019
Stock,AAPL,3161.733,9/25/2019,9/30/2019
Stock,AAPL,2723.619,9/26/2019,9/30/2019
